ulasan,score,sentiment
aplikasi sampah menu mau masuk cuma login kan gua belum pernah daftar ga bisa masuk sama sekali gimana mau daftar cuma mentok login udah di ketik juga email smaa paswor nya gabisa kocak jangan instal aplikasi ini sampahhh bener bener aplikasi sampah,1,Negatif
kgk bisa masuk punya gue,1,Negatif
login aja saya gak bisa masuk padahal email sudah benar pasword benar masih aja salah email pasword apala kocak,2,Negatif
gak update koin yg jp lagi udh stuck kelasnya 😅,1,Negatif
gmn sih cara daftarnya kok gak bisa,5,Negatif
tolong saya sudah daftar nama dengan masuk gmail atau password benar belum masuk,1,Negatif
punyak gua gak bisa login,1,Negatif
gimna cara masukya ini biasaya ada dafta ini login doang,1,Negatif
ngak jelas amat dah ini aplikasi jangankan blajar login ajak ngak bisa ngak niat kah buat aplikasi,1,Negatif
gak jelas langsung login gak bisa daftar dll,1,Negatif
bissmilah baru download ac moga bermanfaat tapi blom bisa login,5,Negatif
ga bisa masuk jir padahal dah pas email sama sandi nya tetep ga bisa masuk username atau pasword ada yg salah gitu tulisan nya knp ya,3,Negatif
gak bisa login padahal udah masukin email sama sadi dah benar,1,Negatif
gak bisa masuk login knpa ya padahal udah bnr email sama kata sandi nya,1,Negatif
cara loginnya gimana ya setiap akun gmail gua katanya sandinya salah padahal dah bener sandi apa sih yg di tanya appnya,5,Negatif
gx bisa login gx jelas,1,Negatif
eh lu pada yg bilang gabisa daftar lu inget gk ncek bilang lu beli tuh kelas ac dulu baru dikasih akun lu kira akunnya gratis kah maniezz,5,Negatif
cara daftarnya gimna ko ga ad ya pendaftaran nya,1,Negatif
enggak bisa daftar bro kaka langsung login,3,Negatif
cara masuk nya gmn ko ga bisa2,2,Negatif
gimana mau masuk apk belum daftar udah harus login tolong dibenerin tuh apknya,1,Negatif
mau login kok susah banget udah masukin email sama pw nya masih tetep salah udah ganti akun sama email dan pw masih tetep gak bisa masuk,3,Negatif
ngk bisa masuk pake email 😴😴😴,1,Negatif
apk tolol,1,Negatif
aplikasi ga jelas udah 3 akun login malah kata sandi salah mulu gimana mau login kayak gitu,1,Negatif
kena tidak bisa masuk,5,Negatif
saya tidak bisa login atau tidak ada tertara daftar d aplikasinya tolong solusinya bagaimana mana cara saya suapaya bisa login masuk,5,Negatif
kek mana cara daftar nya biasanya kan ada buat akun ini mah nggak ada,2,Negatif
cara mask ny gmn bos akun ku d tolak terus gx jelas in all ny,1,Negatif
kok gak bisa login ya pdhal udah buat pasword baru,4,Negatif
edukasinya mantap tapi apk sering ngebut keluar2 sendiri,5,Negatif
kenapa saya tidak bisa daftar,1,Negatif
knapa ga bisa log in,1,Negatif
admin kenapa aplikasi nya tidak bisa daftar penguna baru tolong penjelasanya,3,Negatif
sudah coba daftar di website tetapi tetapi setelah isi untuk daftar tidak bisa dibuka hitam semua tampilannya,1,Negatif
kok ngga ada tulisan daftar ya yg ada login doang gimana caranya,1,Negatif
email dan pw yang dimasukkan sudah benar kenapa masih tidak bisa login,1,Negatif
ini cara masuknya gimana masalahnya tidak ada tombol untuk daftar yang ada hanya tombol login ya gimana caranya mau masuk kalau daftar akunnya ac aja belum tolong segera di update,1,Negatif
koq cuma kayak berita gratisan kayak cnbc kak,1,Negatif
gua yg mw masuk tapi gak bisa mw daftar gak tau di mna daftar,5,Negatif
kok saya ga bisa login apa harus jadi member vip,1,Negatif
kok saya nggak bisa masuk,3,Negatif
aplikasi buruk tiba2 suruh login daftar aja belum,1,Negatif
ini gimana cara daptar nya ko langsung login tpi di coba login tetap gak bisa gimana ini,2,Negatif
saya member premium tp g bisa login di aplilasi akademi crypto,1,Negatif
cuma bisa login gk bisa sign in,1,Negatif
njir duit damina 17 juta nasip gk ad yg gratis didunia ini,5,Negatif
harus member ac ternyata 🗿,3,Negatif
bagaimana cara login nya saya selalu gagal ketika memasukan password dan email,5,Negatif
udah gak pernah live lagi yang di dalam udah dilepas bayar mahal2 tidak ada bimbingan,1,Negatif
cara loginnya gimna nih menu daftar pun gk ada,1,Negatif
saya tidak dapat login di aplikasi akademi crypto ini padahal saya sudah buat akun baru juga gonta ganti akun dan sandi tetap tidak bisa itu kenapa ya,1,Negatif
jelek banget aplikasinya call nya juga jelek apalagi kelasnya wkwkwkkw,1,Negatif
males katanya gak mau bikin exchange,1,Negatif
ko saya ga bisa masuk ya kk,5,Negatif
tidak bisa login tolong di bantu,1,Negatif
saya mau login koq ga bisa ya apa khusus untuk yg pernah ikut seminar ac aja ya,3,Negatif
ngga bisa login loh password salah trus sampai saya ganti password gmail lagi masih ngga bisa log in,1,Negatif
bang kenapa yang gue gak bisa login ya padahal baru pertama kali mau coba belajar crypto,5,Negatif
cara login gimana aku gak bisa login,4,Negatif
gmna caranya login kok gbsa bikin akun,5,Negatif
knp ya aq masuk ga bisa padahal udah masukin email sama pasword knp tetep ga bisa padahal udh benar,1,Negatif
kenapa aku gak bisa login,1,Negatif
aplikasi sampah udh join dc 19juta tapi call nya banyak yg busuk,1,Negatif
susah banget login nya padahal email dan sandi bener semua dan sy coba buat akun email baru tetep aja ga bisa login anehhh banget udh berkali2 di coba tetep ga bisa herann,2,Negatif
masih sering keluar sendiri padahal cuma baca berita semoga di perbaiki kedepannya,5,Negatif
apakah aman soalnya di suruh login nanti pengembangnya bisa lihat email dan sandinya gak plis buat login akun google nya langsung aja tanpa ada sandinya atau login lewat apple atau ngak facebook gitu,1,Negatif
gabisa login ajg pake cara apapun juga gabisa,1,Negatif
saya kalau ngaku bisa ngasilin uang hinga triliun dari trading gak bakal gw sebarin ilmu gw cara dapetin segitu,1,Negatif
halo min cara masuk ke apk akademi crypto mya gimana ya dah saya masukkan email saya error terus gimana yaa,2,Negatif
saya pengen sekali mau ikut akademi sini tapi gak bisa login gak ada pendaftaran nya moga bg timothy ronald bisa ngasi kesempatan masuk di aplikasi ini,5,Negatif
kok cara daftarnya gak ada malah langsung di suruh login padahal kan saya blm punya akun nyaa,2,Negatif
ga bisa login,5,Negatif
tidak bisa login padahal email saya benar,1,Negatif
maaf saya udah download tpi kox ga bisa di buka ya aplikasi nya apa yg harus mesti saya lakukan,1,Negatif
gimana daftarnya sandi nya udah bener email juga udah bener tapi masih aja username atau password anda salah katanya,1,Negatif
pengen belajar ini punya niat kuat tapi ga punya modal masih sekolah dan masi terlalu bodoh untuk menggapai mencoba cari cara buat dapatin uang walau modal nge jb akun ml,5,Negatif
knpa aku gagal login trus yh gk bisa msuk2 pdahal akun gogle ku udh ku cba smua tpi tetep aj gk bisa login tolong dong,2,Negatif
aku mlah gagal daftar terus anehhh🗿😫,3,Negatif
appnya buat member kah kok gak bisa login,3,Negatif
cara login nya gimana si kok gua ngak bisa maulu ya,5,Negatif
kak gua kok ngga bisa masuk padahal email sama sandi udah betol ntar kalo udah ada jawaban dm gua bang,3,Negatif
kenapa saya tidak bisa login padahal akun dan pasword sudah pasti benar bahkan saya sampai mengubah password untuk memastikan bahwa semuanya benar mohon informasinya,1,Negatif
gak bisa masuk padahal kata sandi imail udah bener tapi salah trus,2,Negatif
tidak layak untuk di coba,1,Negatif
buruk,1,Negatif
instal ini buat kasih bintang 1 aja bintang 1nya buat buzzer bayaran yg kasih bintang 5 keluarkan lagi anggaran bayar freelance seperti kami bisa review 1000 akun bintang 5 palsu full template lord anda diserang netijen kami dapat pekerjaan anda senang kami drawdown lagi 17jt juga harus dibagi ke buzzer2 rating palsu alam semesta harus seimbang🙂,1,Negatif
benefit internal terlalu sedikit dan sampah tidak ada live dan cuma 1 arah,1,Negatif
ga sia sebagian keuntungan dipake beli apk ini,5,Negatif
tolong perbaiki karena pdf nya tidak bisa di download,5,Negatif
udah masukin email dan sandi nggak bisa masuk,5,Negatif
scam informasi vs janji palsu 🤔 dlu mikir bisa ada wadah untuk diskusi tp ternyata di mute belajar tp ga ada tempat diskusinya kyk belajar tp gak punya mentor yg bs di ajak tanya jawab gmn bs tau cara anda play disaat market bearish klo ujung ny di mute gak bs diskusi,1,Negatif
kecewa banget padahal saya baru masuk member berita nya lambat banget terkadang sampai ada yg ketinggalan 11 jam dari aplikasi gratis coingecko contoh kayak berita koin trump dn musk it udah keburu hilang hypenya jadi apakah gini kualitas y katanya pake blomberg terminal,1,Negatif
yang ngasih bintang 1 itu beneran member ngak jangan jangan cuma bacot lah wong saya profit terus,5,Negatif
bintang ny kurang satu soalnye ni apk login ny ribet kagak bisa gonta ganti akun sekali pernah masuk harus pakai itu trus walau udh berkali kali hapus instal eth dahhhhh,4,Negatif
kadang waktu baca research ga bisa di geser layarnya sama kadang waktu di zoom ngebug ga bisa dikecilin atau dibesarin lalu kalo bisa research mengenai data umum di pisah dengan research project white paper agar lebih mudah mencari nya kadang aku ga tau kenapa suka logout sendiri tapi overall ini mantep banget sih dikasih data diajarin cara baca lope pokoknya mah,5,Negatif
hati2 dengan over marketing tipu daya dengan segala yang di tampilkan member di biarkan tidak di urus data2 on chain yang di berikan telat padahal brandingnya pake bluummbertttt berita2 news urgent malah menghilang katanya benefit member bnyak tapi dari bulan september sampai skrg tidak pernah ada live member lagi terima kasih telah menjadi penyesalan terbesar gw selama 2024 guysss,1,Negatif
buang2 duit join disini disuruh beli altcoin mulu sebagian besar altcoin nya nyungsep tp founder nya aja 90 ada di btc,1,Negatif
kok aku login pake email gabisa ya tolong kasih saran,3,Negatif
gak bisa login jir lah padahal udah bener email sama sandinya ada yang bisa bantu,1,Negatif
ini jujur secara personal ac itu secara berita berita nya itu bagus dan cepat emng saya akui tetapi yang masalahnya adalah calls2 nya itu sngt2 tidak akurat iya emng ac itu tempatnya edukasi tetapi ngomong nya pas market bull disaat 2024 meret sampe seterusnya iya kita belajar bahwasanya medsos itu fake dengan kenyataan nya jadi mau ac bagus mau ac jelek itu tergantung kebutuhannya,1,Negatif
ngke bug apk nya apa gimana ya soal nya gak bisa daftar masa cuma ada tombol login kan gak bisa masuk ke apk nya jadi nya,3,Negatif
mohon maaf ncek kok saya gk bisa login ke akademi crypto nya ya ncek padahal sandi sama email udh bener tapi tetep gk bisa masuk tolong ya ncek,5,Negatif
ni gimana belum bikin id udah di suruh login ga ada daftar dulu kah,1,Negatif
nggk bisa kebuka daftarnya gmna,5,Negatif
saya udh pernah beli kelasnya tpi tidak bisa masuk discord dan apknya,1,Negatif
isinya gratisan modal 17jt aja belum balik mending jualan pecel lele keliatan profitnya brp 🗿bayar mahal mahal gak ada live jogetnya lagi,1,Negatif
maaf prof nga bisa login udah pake email dan kata sandi tapi tidak bisa masuk,1,Negatif
gajelas sengaja banget bikin review2 koin yang bisa cari di google banyak2 di aplikasi ini biar yang naik tinggi di up buat promosi yang rungkad dilupakan gak didenger wkwkkw kocak pokonya jangan masuk sini dah wkwkkw nyesel nanti ini kalian nyadar gak sih udah dicap buruk sama orang2 umum banyak juga meme bertebaran di twiter wkwkw menua bersama ac❌ rungkad bersama ac ✅,1,Negatif
ngak bisa login aku login pake email salah trs aneh pdahal sandinya sdh betul,1,Negatif
loginnya kok susah ya apakah aplikasinya berbayar saya butuh banget informasi dari ac saya bikin email baru pun masih gk bisa login,2,Negatif
belum bisa buka,1,Negatif
gua sempat bingung ya baca penilaian orang orang gak tau atau gimana yah katanya informasi tida bergua ini tolol apa gimana yah perasaan di dalam banyak yang udah cuan banyak harga juga murah mereka pikir data di ambil ini gratis aneh memang orang orang ini,5,Negatif
kenapa sih gak bisa daftar sigh up,3,Negatif
jangan join ac ntar nyesel bayar mahal ilmu tidak daging jarang call sekali call nyangkut wkwkwk,1,Negatif
orang yang koar2 rungkat nyalahin komunitas sadar diri lu yang pencet,5,Negatif
jujur gw member di dalem ini gw dulu join karna di janjiin ada live exclusive member dan ada diskusi membernya dulu kelasnya bagus tapi sekarang udah sampah banget,1,Negatif
suck,1,Negatif
tolong honest reviewnya abang2 sekalian gw lihat yg bintang 1 rata2 pada komen negatif pdhl gk join kelasnya dan yang bintang 5 kebanyakan kata2 template review bayaran please yg udah nyobain tolong review jujurnya 🙏,3,Negatif
kok punya gue gak bisa login yaa,3,Negatif
harganya mahal tapi analisa marketnya ga jelas slaah mulu materinya cuma basic ga ada ilmu advance yg bisa di dapetin,1,Negatif
apakah untuk mengakses aplikasi ini harus menjadi member ac terlebih dahulu terimakasih semoga terjawab,5,Negatif
teruntuk yang blm jadi member baca ketikan gw ini agar kalian selamat gausah bayar member atau join grup ini kalau tidak ingin menyesal,1,Negatif
calls avs banyak yang invalid gaada wr 80 wkwkwk,1,Negatif
ac academy crypto scam from indonesia all of them avs and timothi only pump dan dump many member has lost their money jangan mudah tergiur dengan analisa mereka hanya pump dan dump,1,Negatif
yang bukan member ga diajak dek,5,Negatif
setelah saya bandingkan ac ini lebih ke platform edukasi kalo lu pikir its wort it then do it bagi saya kalo di banding harga dn kualitas kuantitas calls masih bagusan punya sulianto tapi kalo edukasi ac ga ada lawan jadi saya kasih bintang 3 biasa saja not good but not that bad,3,Negatif
gimana nih udh masukin email sama pw tetep gk bisa,1,Negatif
aplikasi jeleq sekem,1,Negatif
gw bukan buzzer yg di bayar buat ngasih bintang 1 ke sini gw asli member ac yg masuk sejak january karna anjuran dri kalimasada gw hold dan dca trus koin koin yg mereka saranin pas webinar switch btc ke alt di situ awal kehancuran hidup gw gw kerja dri semenjak kuliah uang tabungan gw habis koin yg gw beli rata rata turun 90 80 hidup gw bener bener hancur dan lebih kecewa nya lgi mereka gk pduli sama sekali dengan member nya semoga tuhan yg balas kebusukan mereka,1,Negatif
payah katanya join 17 juta ada komunitas eh pas ditanya admin tidak menjawab sudah koin mahal mahal kena kibul doang,1,Negatif
tidak bisa login tidak ada tombol daftar,1,Negatif
mana risetnyaaa mana live nyaa giliran kyk sekarang pura pura sibuk cuih,1,Negatif
wkwkw buzer nya ngisi rating noh di tele 😂🫵,1,Negatif
ini kok aplikasi nya sering ke logout sendiri lalu ini sy uda coba relogin berkali kali tidak berhasil bingung harus komplen kemana tim suport masih belum optimal mohon solusi nya,3,Negatif
yg belum daftar mending gausah daftar gada gunanya,1,Negatif
gweh bang dibayar 1 5k buat rating ni aplikasi jngan tanya gw bang tanya sama rating bintang 5 yg lain v,1,Negatif
akademik scam tll isi beritanya cuma copas aja rating nya pun bayaran semua depo depo apa sih kntl lu kira ni tempat juday,1,Negatif
diskusi di matikan nggak pernah live alt call webiner ancur an dari semua vip grup yg saya ikuti ini kelas terburuk termahal gua yakin karma itu ada,1,Negatif
banyak call ac yg dicurigai pesanan skrg ac udah susah dipercaya karena memang curiga banyak agenda di belakangnya terlalu berpengaruh dan banyak follower pasti dapet byk tawaran di belakang yg kita ga tau dengan nominal sangat besar dan kayanya ngeliat watak timotoy yg penggila uang ga mungkin ga nerima hati2 aja dan curiga setiap call yg mereka lempar,1,Negatif
jasa rating cuma di bayar 1500 perak mending gratis tpi b 1,1,Negatif
yang ngasih rating 5 pake kata kata mendidik itu kita di iming imingi 1 5 2 k per riview tpi bayarannya susah lama banget cairnya,1,Negatif
kayak aplikasi pemerintah pemiliknya buka cls 17jt tpi msih pke dc buat tempat edukasi nya gk worth it bet niru the hustler tpi apliksinya aj jelek,1,Negatif
sangat buruk,1,Negatif
aplikasi nya mudaah untuk di mengerti,5,Negatif
provider data crypto tercepat dan terbaru aplikasi cuma comot berita dari internet yg banyak bertebaran doang telat juga beritanya juga gk di kurasi dulu mana yg hoak mana yg gak cuma masukin aja mana yg di bilang dua founder itu soal data crypto onchain cuma ambil dari spot on chain mana etf eth btc aja bilang ada bloombreg ada kaito dan lain lain tapi kasih outlook telat semua data data juga telat semua mindshare itu lo kasih tau juga bisa kan tambah lagi omongan plin plan juga lol,1,Negatif
harus byr cumn buat loqin,1,Negatif
gw contrarian jan 2024 gw juga pernah kesel marah jadi member tapi tuh kesalahan lu sendiri kalian terlalu risk di aset kecil saran gw btc 70 sisanya buat pasang buy di dibawahnya drawdown btc skrg gk sampe 30 naik turun juga untung jgn ribut krn btc will alwys new ath fool emang nih cycle pertama kalian kasian kalian yg marah disini kalian kurang sabar jadi jgn take action berlebihan,5,Negatif
yang bintang 1 manusia bayaran yang sangat murah lawak akun fake semua yang bintang 1 biar apa si bintang 1 biar kelas lu laku penasaran di bayar berapa dan mukanya seperti apa,5,Negatif
yang punya aplikasi giginya kuning,1,Negatif
inget guys klo dia live close dulu aja entry an nya dark sistem parah ini real beban candle🤣🤣🤣🤣,1,Negatif
mayan kasih rating biar caer aowkwkwk kelar caer gnti bintangnya hahaha,1,Negatif
kok gak bisa di akses ya,5,Negatif
jijik bgt 5 bintang dibayar cuma 1500 perak makan tuh b1,1,Negatif
aplikasi ga guna banyak bug,1,Negatif
bantu rating aja soalnya mereka berdua yg buka mata gua,5,Negatif
iya mereka dinayar 5rb sekali riview mungkin itu cara cari makan bro sedangkan dirimu nyuruh orang up rating rate 1 500 awkakwkakwkak lebih hina yg kata nya duit m m m,1,Negatif
discord di tutup suara dibungkam bikin aplikasi adalah pengalihan isu bisnis dibalik edukasi,1,Negatif
bila ada yg komen bagus itu bohong karna banyak yg di bayar buat bikin komen baik bgitu kalau tidak percaya saya punya bukti di telegram,1,Negatif
cuma ngerti ilmu basic di crypto pake jualan kelas segala lu kaya cuma dari duit member skill lu zero gw tantang kalimasada atau timoty battle future,1,Negatif
di youtube bamyak kalo cuma ilmu kaya gini doang mah terlalu mahal,1,Negatif
akademi ampas tempat diskusi gaada kasih call jarang modul cuman basic trading aja tidak ada penjelasan spesifik ujung ujung nya apa yapp belajar sendiri di yt dan x sangat tidak worthh diharga 17jt overvalue kek manta di harga 3 5,1,Negatif
kembalikan duit saya cokkkkk,1,Negatif
jangan percaya ulasan positif isinya buzzer komen template semua liat yang ulasan kritis itu yang asli,1,Negatif
aplikasi skem crypto judi jangan pernah bayar kelas kripto kaya gini lebih mending duitnya buat kuliah yg kasih bintang 5 buzzer demi dapet call,1,Negatif
apaan banyak member loss profit gini caption niru dari luar bitisi naik koar koar bitisi down masuk goa awikwok sekali dia ini,1,Negatif
aplikasi ppk nyruh rating dibayar cuman 1 5k per hp😂,1,Negatif
isinya scammer,1,Negatif
fake review dibayar 1 5k awokwowkwok,1,Negatif
malas,1,Negatif
gak guna,1,Negatif
apk scam cuma orang rada rada aja yang ngasih bintang 5 wkwk,1,Negatif
agus sedih agus sudah beli kelas 17 juta tapi tetap disuruh dyor mana agus pake pinjol buat beli kelas tolong agus teman teman,1,Negatif
pembodohan dan penipuan jual kelas ncek ncek pier,1,Negatif
seperti kebanyakan member pasti lebih banyak yang kecewa daripada yang senang,1,Negatif
aplikasi lemot berita hasil nyomot copas,1,Negatif
gaguna,1,Negatif
jeyek,1,Negatif
hello google please ban this app this is scam,1,Negatif
walah yg rate 5 dibayar to kasian member yg bayar 17jt buat memperkaya duo cupang,1,Negatif
materi belajar crypto itu gampang di cari di internet kalian bayar mahal buat materi gratisan plus sinyal pas bull run doang gak guna asli,1,Negatif
kurang menarik,1,Negatif
aplikasi penipuan dll wajib di tarik dari play store skema ponzi rating b5 nya palsu bayaran smuanya,1,Negatif
public deception application the owner only wants small money but not education high rating because these buzzers are paid rp 1 5k review so high rating is just a gimmick,1,Negatif
no comment 17jt beli kelas malah rungkad ownernya sampe bela in beli review b5 dengan harga 1500 rupiah per review,1,Negatif
tidak ada tombol pendaftaran bikin akun,1,Negatif
aiwkwowkwokw tukang beli rating,1,Negatif
kalo nyewa buzzer modal dikit dong yakali b5 cuma dikasih 1500 buka kelas dapet banyak bayar buzzer sulit,1,Negatif
kelas ga berguna bayar 17jt tetap dyar dyor 🤣🤣👎👎👎👎,1,Negatif
ownernya scam,1,Negatif
gak bisa buat akun,1,Negatif
