ulasan,score,sentiment
semangat terus ncek the higher the mountain rises the stronger the wind blows,5,Netral
porto timoty berapa bitcoin sih gua di indodax ada 30 btc portonya tapi thn 2018 lu pada malah lebih percaya sama yg cuma punya 1 10 btc,1,Netral
join rungkad,1,Netral
ok sih ini,5,Netral
cuk ini masuknya bebayar apa gimana,4,Netral
aowkwwk isep terus yang rate b5😹,1,Netral
cihuyy blomberg indo udah rilis wkwk,5,Netral
fans n penggemar hadir,5,Netral
malazz,1,Netral
give skin epic gw pick zilong,2,Netral
bacot timothy akwokwk,1,Netral
no komen dah,1,Netral
umumnya dikenal sebagai mata uang digital,5,Netral
akademi rungkad,1,Netral
lagi dalam proses ngumpul budget buat login 😂 sementara yg gratisan dulu dari discord margin call,5,Netral
timothy ronald memberikan masukan seputar crypto,5,Netral
gw emang belum dapet akses karena belum cukup rezekinya untuk masuk member ac tapi dri info dc dari edukasi yt belajar di yt udah ngasih gw pelajaran tentang apa itu investasi apa itu bitcoin gimana cara kerjanya apa aja yg harus di dahulukan tentang investasi leher keatas tapi semoga nanti gw bisa bergabung bersama manusia manusia smart money ini,5,Netral
saya sengaja,1,Netral
angkatan maret,1,Netral
next level untuk analisis market,5,Netral
sangat membantu karena informasi nya mahal,5,Netral
no coment,5,Netral
saya hanya pengikut margin call dan apapun itu saya kenal kripto dari mereka tanpa mereka saya hanyalah penonton di kripto,5,Netral
apa an ini semua informasi nya sama seperti yang saya dapatkan di discord dan aplikasi lain gak ada info yang ekslusif,1,Netral
informasi ter update tentang crypto disini,5,Netral
akademi rungkat,1,Netral
ulty nolan,1,Netral
ikut kelas timothy ronald biar bisa belajar crypto,5,Netral
vidio di buka ga ada suara minta bantuan admin by wa ga ada tanggepan🥲,1,Netral
cara merubah 1m menjadi 6 jt,1,Netral
aplikasi apa ini ngeleg,1,Netral
academy cutloss,1,Netral
saya hanya penikmat informasi gratis namun kalau tidak ada akademi crypto mungkin saya sudah tersesat sekarang,5,Netral
ac yang mempelajari soal percyptoann,5,Netral
ayo margin call,5,Netral
apaan ini baru instal cuma ada login ngga ada info lain,1,Netral
sekelas internasional,5,Netral
amvasssss,1,Netral
gas,5,Netral
moga suatu saat bisa masuk,5,Netral
🥲,5,Netral
informasi yg akurat semua sesuai angka dan fakta yg ada,5,Netral
bismillah semoga suatu saat saya memiliki akses masuk aplikasi ini aamiin,5,Netral
semua ada disini dan update,5,Netral
gw seh ogah join grup privat ac🤭,1,Netral
ketik 1 agar tidak diparani 1,1,Netral
aplikasi untuk yang mau belajar tentang kripto,5,Netral
tolong di adakan notifikasi,4,Netral
cl manta di hajar di tempat,1,Netral
akademi cocot eh gede,1,Netral
manta,5,Netral
sudah saya ungkapkan,1,Netral
cuan cuan cuan,5,Netral
mbekk,1,Netral
saya bukan member ac tpi ini saya bisa ngasi rating cuma dengan download app nya trus dibuka tanpa perlu login balik ke playstorenya lalu bebas ngasi rating mau jelek atau bagus jdi ada kemungkinan yg ngasi rating dengan kata2 template itu buzzer entah isi informasinya bagus atau tidak tetapi video margin call saja sudah sangat informatif seharusnya isi app lebih dari itu,4,Netral
kembalikan discord,1,Netral
mines ga ada diskusi di sebuah akademi,3,Netral
report mau diajak by1 sama rama,1,Netral
alarm notifikasi plis,5,Netral
sedikit terlambat download app nya,5,Netral
mungkin bisa di tambahkan buat notifikasi biar lebih ontime saat baca news atau researchnya,5,Netral
kita harus lebih bijak lagi tolong berhati hati,1,Netral
btc go to 100k,5,Netral
mirip bloomberg,5,Netral
terimakasih informasinya dan edukasi ac,5,Netral
akademi 17jt bahan ajarnya dca btc,1,Netral
apakah ini asli dari ac,2,Netral
maaf sudah pake game guardian masih sama 🙏,2,Netral
for all,5,Netral
lengkap semua tentang crypto dan infomasi a1,5,Netral
semoga bisa dapat give away member akademi crypto,5,Netral
cara daftar nya gimna belum punya akun,5,Netral
cara login apk nya gmn yaa ka tolong pencerahan nya,5,Netral
ayo mulai mengenal dunia crpto,5,Netral
informatif fungsional daging semua,5,Netral
mantullll,5,Netral
saran di tambahin alert seperti discord biar muncul notif kalo ada news baru atau call avs,5,Netral
big apps,5,Netral
berasa bloomberg,5,Netral
bang tolong tambahin kaya kaito ai bng,5,Netral
mode landscape belum bisa notifikasi jika ada berita baru belum ada request,5,Netral
kelazzz,5,Netral
pertamax bismillah 1solana,5,Netral
absen,5,Netral
nama aldis my first comment,5,Netral
mungkin pas video nya di play bisa di landscape untuk di hp karna agak kecil kalau di hp karena saya pakai hp android saya sudah cara pengaturan hp saya tetapi tidak bisa mungkin support device yang lain juga terima kasih,5,Netral
skem,1,Netral
semua material tersedia secara gratis di youtube ga ada ilmu baru sama sekali,1,Netral
zoom sudah dibenerin tulisan artikel kurang kontras lebih enak dibaca kalo putih atau abu2 terang mending tab news sama info dari avs dipisah lalu tampilkan jam posting jg jangan cuma 1 jam lalu atau 2 jam lalu supaya kita tau info ini ketinggalan brp lama secara akurat,3,Netral
discord,5,Netral
gg ko tim dan bang kakaa,5,Netral
1 5k parkir motor aja 2rb,1,Netral
de fak,1,Netral
barangkali kedepannya berkenan dipertimbangkan mc khusus hanya untuk member di app,5,Netral
tampilan awal gak jelas banget masa langsung login harusnya preview dulu isinya apa aja kayak di netflix itu lho,1,Netral
suaraku minimal 5k mas,1,Netral
mau saran tolong beri news kalo bisa yg market moving aja dan actionnable utk trading dan kalo mau jadi aggregat data kalo bisa yg sediakan itu raw data seperti data kaito cryptoquant secara langsung dan real time untuk news bisa subscribe api dari velo data karena untuk news2 yg bersumber dari jurnalis ac rata2 sudah telat dan tidak actionnable jadi lebih baik kalau menyediakan news dalam bentuk fresh jadi melakukan relay saja sukses terus ac,4,Netral
king timothy,5,Netral
raja kriptod,1,Netral
amps,1,Netral
jarang call sekali masuk lgsg junam,1,Netral
aplikasi untuk anak sd,1,Netral
a honest and objective review the app isn t better than discord not bad but not better either because the information provided is basically the same as what s available on discord since the standard set is the bloomberg of crypto the expectation is for faster and more extensive information this review is specifically for the app but the data and other information provided are still good please continue to improve,3,Netral
1 kata paten,5,Netral
njir v,1,Netral
lamborgini mu warna apa bosq,1,Netral
informative news updte,5,Netral
aplikasi berita doang mana callsnya,1,Netral
indonesian bloomberg,5,Netral
belum ada notif,3,Netral
ntapss,5,Netral
timoti ronal,1,Netral
you need to hear and take a note what people s review,1,Netral
tim diskon dong,5,Netral
menurut saya materi informasi lebih enak dibaca disini daripada di discord sedikit tambahan untuk perbaikan menurut saya adalah sebagai berikut 1 dari sudut pandang android user gambarnya kalau di zoom ga bisa di slide ke kiri or ke kanan melainkan hanya ke tengah 2 adakan fitur notifikasi 3 fitur notifikasi baiknya bisa dipilih mau nyalakan yang mana seperti kanal berita saja informasi saja modul saja atau research terbaru saja atau bahkan bisa nyalakan semua notifnya,5,Netral
cool info a1,5,Netral
ini review asli dr member ac,5,Netral
kembalikan live setiap minggu,1,Netral
no comment biar bintang berbicara,1,Netral
lebih baik di discord appsnya perlu dikembangin lebih dalam ui ux is too simple jika butuh ui ux design bisa contact saya,1,Netral
before you decide to join this community app you should read all the negative comments and investigate this community on twitter,1,Netral
skemmm,1,Netral
sementara bintang 1 dulu ya kalau sudah bisa refund baru bintang 5,1,Netral
kembalikan informasi ke discord,1,Netral
act altcoin act bitcoin dan pojok2 lain kemana ya,3,Netral
sudah oke tapi belum ada notifikasi appnya dan lihat gambar tidak bisa di geser saat zoom,5,Netral
cukup informatif di tgu fitur berikutnya,5,Netral
📈📈📈,5,Netral
